271,244,2,886106039
731,482,3,886184770
933,474,5,874853734
389,64,4,880087151
621,7,4,880738353
436,325,3,887768756
677,678,4,889399113
896,145,1,887161413
505,132,5,889333598
885,685,3,885715671
294,181,5,877819532
763,132,3,878920656
293,45,5,888906315
805,93,5,881704016
537,65,3,886030767
851,456,2,875730719
900,100,4,877832904
395,343,5,883762614
387,206,4,886483429
45,257,5,881008781
234,224,4,892334107
670,8,4,877975594
600,53,4,888452563
532,44,5,888637085
479,121,4,879460236
871,197,3,888193385
670,482,5,877975285
805,190,5,881694423
894,59,5,882404397
246,765,2,884924026
405,4,4,885547314
447,55,4,878856573
399,12,3,882509891
635,879,3,878878866
373,480,3,877098643
868,268,4,877102974
618,154,3,891308615
194,628,3,879540171
385,525,4,879444685
829,125,3,891990619
782,335,2,891498918
776,525,2,891629157
647,427,4,876534275
646,751,2,888528870
605,274,3,879425663
825,456,3,889021287
493,121,5,884131690
523,944,4,883702324
727,1119,3,883711923
749,430,4,878847926
503,221,5,879438377
305,165,4,886323153
189,283,5,893264300
378,716,3,880056735
637,596,2,882903582
54,405,4,880934806
7,605,4,891353290
321,133,5,879440612
901,578,3,877131961
713,882,3,888881988
564,289,4,888718546
630,409,3,885667037
682,157,4,888517484
798,940,1,875914898
624,678,3,879792155
592,320,5,882955735
263,515,5,891298592
586,403,4,884061807
74,315,5,888333194
92,78,3,876175191
342,47,5,874984430
709,161,5,879848511
387,1,4,886480681
295,513,4,879517492
395,97,5,883763800
521,427,3,884477630
321,83,4,879439926
506,271,4,880198184
718,274,3,883349363
271,347,3,885844634
417,324,1,879646463
833,642,3,875038626
592,1620,1,882609057
804,483,5,879441627
704,193,5,891397305
214,100,4,891542986
548,176,4,891044355
537,948,1,886029239
905,322,3,884983341
782,349,3,891498720
503,116,5,879438559
742,282,3,881335857
512,286,5,888578937
280,409,3,891702441
59,525,3,888204758
505,69,3,889333974
768,288,4,883834705
62,512,4,879374894
588,1311,1,890029079
489,316,5,891447872
13,751,5,882774081
221,1016,3,875244713
715,228,3,875963486
716,419,5,879794775
183,144,3,891479783
142,294,3,888640054
727,380,3,883712397
363,1056,4,891496169
276,881,3,885537717
305,748,3,886308147
707,735,4,886286792
458,425,3,886398246
934,972,3,891225716
474,518,4,887926633
666,133,3,880139439
188,651,4,875073408
85,822,3,880581629
880,144,5,880167670
457,554,4,882549682
683,56,5,893286364
654,174,5,887864727
885,946,3,885714933
661,215,3,876015657
637,544,3,882903914
245,258,4,888513691
145,234,5,875271948
495,478,4,888632443
804,233,4,879445815
774,527,1,888556698
184,631,4,889910612
336,4,4,877757790
921,196,5,884673724
269,521,4,891448048
301,455,5,882074437
795,826,3,880560736
453,276,5,877552564
771,222,2,880659709
256,66,4,882165103
711,622,4,879993997
881,474,3,876537870
553,514,3,879948695
198,939,3,884209412
536,1039,5,882360029
158,408,5,880132313
373,1078,3,877105451
457,234,5,882548426
741,274,4,891019587
719,742,4,879358893
109,82,5,880572680
716,497,3,879795949
487,100,5,883442105
555,1013,4,879962642
295,427,4,879517412
632,588,2,879457217
506,281,3,880198144
933,411,2,874938689
492,153,4,879969454
796,427,4,892662355
666,238,4,880139615
50,1010,5,877052329
472,386,5,892790953
43,280,3,883955806
869,815,1,884491966
401,356,4,891033122
406,228,3,884630974
896,313,4,887235122
532,1594,4,893115576
654,546,4,887863885
829,14,2,881712488
642,35,2,886570027
401,321,2,891031554
748,180,4,879454958
417,78,2,879649632
320,95,3,884751418
83,225,3,880307208
796,559,3,893218453
354,210,3,891217717
843,380,3,879448262
144,1065,4,888105714
663,245,4,889491891
553,523,4,879948508
486,146,2,879875188
327,121,2,887822530
914,1355,1,887123886
448,286,2,891887393
783,876,4,884326424
770,25,5,875972582
70,473,3,884066399
399,412,2,882352468
470,221,4,879178370
588,29,3,890027063
470,137,3,879178406
451,690,4,879012382
661,433,5,876016545
463,147,3,877386047
793,118,2,875104119
178,280,4,882824592
741,682,3,891455960
804,1411,3,879446129
269,170,2,891447216
768,332,4,879523820
615,23,5,879448547
767,524,5,891462560
467,1,4,879532459
502,258,2,883701927
532,153,4,888629670
850,496,5,883195079
862,173,5,879304484
268,561,3,876513897
813,289,4,883752455
506,234,5,874873111
579,50,5,880951984
385,18,5,884915008
104,926,1,888465936
458,134,5,886395963
223,71,5,891550649
921,215,4,879380677
825,407,3,889021180
435,318,5,884131385
358,512,5,891269511
313,322,3,891014313
770,288,4,875971612
670,659,5,877974699
551,334,4,892775970
776,637,3,892920381
109,11,4,880572786
586,551,2,884061189
903,443,5,891033755
389,675,3,880165702
663,1119,3,889493437
16,208,5,877727054
217,586,2,889070050
606,472,4,880921408
848,606,4,887038441
85,735,3,879454905
806,273,4,882385524
244,246,5,880604302
567,653,5,882425843
880,771,3,880243848
588,131,5,890024918
66,237,4,883601355
281,259,3,881200789
592,191,5,882955735
474,614,4,887926999
839,410,1,875752274
469,923,5,879523891
903,931,2,891032038
593,164,4,875671861
524,647,3,884634911
712,722,3,874957086
720,306,4,891262635
620,795,4,889988340
804,1050,3,879442269
927,41,4,879195407
571,45,4,883354940
189,7,3,893264300
409,97,5,881109216
711,1221,4,879994777
220,269,5,881197597
537,464,4,886031506
457,755,4,882549356
636,275,3,891448229
234,686,3,892334976
693,521,5,875482092
239,186,1,889179253
429,697,3,882385858
85,513,4,879454350
587,332,4,892871171
256,595,4,882164037
400,749,4,885676452
95,855,3,888954609
262,421,4,879792331
194,1041,2,879553591
417,302,3,879645999
271,285,4,885847876
37,665,3,880916046
297,32,4,875239267
267,202,5,878972398
659,1119,4,891383674
184,79,3,889909551
936,7,4,886832221
870,401,3,880584584
90,644,5,891384065
64,273,2,889739381
72,56,5,880037702
277,472,1,879544058
829,1193,4,881699425
848,141,4,887040159
311,549,2,884366111
453,721,4,888205696
297,55,4,875238922
363,739,3,891498183
128,117,5,879967631
577,380,3,880474991
381,462,4,892697442
788,431,2,880868401
818,288,5,891870364
769,120,1,885424401
